c_name,c_cultural_complexity,rows,neel_total_cell_count,neel_for_prop,neel_against_prop,neel_total_for,neel_total_against,prest_total_cell_count,prest_for_prop,prest_against_prop,sccs.no,c_culture_code,documents,c_latitude,c_longitude,region2,c_region,c_subregion,c_subsistence_code,c_subsistence_type,Location,V79,V152,V156,V158,V158.1,V670,V20,V21,V22,ID4,V61,V63,V64,V69,V70,V72,V73,V75,V76,V77,V78,V79,V80,ID5,V81,V83,V84,V85,V93,V94,V200,V201,V207,V208,V210,V234,V235,V236,V238,V247,V270,V276,V573,V574,V575,V587,V664,V666,V669,V679,V756,V757,V758,V759,V760,V761,V762,V763,V764,V765,V766,V767,V768,V769,V770,V773,V774,V775,V777,V778,VAR00011(V780?),V785,V793,V794,V795,V796,V835,V836,V860,V866,V867,V868,V869,V902,V903,V905,V907,V910,V1133,V1134,,V1648,,V1649,V1650,V1683,V1684,V1685,FACT_2,FACT_3,dom_total_for,dom_total_against,prest_total_for,prest_total_against,dom_culture_score,prest_culture_score,neel_culture_score,vvstrat_culture_score,vvcoord_culture_score,dom_for_prop,dom_against_prop,dom_total_cell_count,vvstrat_total_for,vvstrat_total_against,vvstrat_prop_for,vvstrat_prop_against,vvcoord_total_for,vvcoord_total_against,vvcoord_prop_for,vvcord_prop_against
Iroquois,15,9,36,0,0,0,0,63,0.126984127,0.031746032,125,NM09,5,43,-75,North America,North America,Eastern Woodlands,4,horticulturalists,North East Coast,Polygyny < 20% plural wives,100-199 persons,< 1 person / sq. mile,Egalitarian,15,Mythical Male,Individual households,None or barely adequate,seasonal variation,Montagnais     ,Seminomadic-fixed then migratory,100-199,< 1 person / 5 sq. mile,Patrilocal or virilocal,Bilateral- not a corporate kin group,Local endogamy 61-89% (agamous),Overlapping kin ties,Feasting and/or drinking,Single local leader,Patrilineal,Informal consensus,Polygyny < 20% plural wives,Large extended,Montagnais     ,De Facto Autonomy,Stateless society,Peace group,Absent,Direct subsistence production ,NA,North America,1,0-5% Dependence,Bride-Service,NA,Seminomadic,100-199,Three levels,Absent or not reported,Bilateral,absence among free men,patrilineal heir,NA,NA,NA,None ,NA,Present,Plus taking wives from hostile groups,absent or occasional or periodical ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Independent local communities,"Nonlineal/bilateral,i.e. w/o lineages though often w/kindred","Monogamy preferred, but exceptional cases of polygyny",NA,NA,NA,NA,Informal Leader Obeyed by Respect,"Some, not necessary to be a Warrior to have Influence",Sometimes,Enjoyed and Has High Value,Absent or not mentioned,4-10 conjugal relationships,Despotism absent: bias in the resolution of individual,,"Warfare seems to occur every year, during particular season",,"Internal warfare occur every year, duriing particular season",External warfare seems to occur every year particular season,NA,Don't know ,Don't know (original code 8),3 Items Present,Absent,1,1,8,2,0,0.095238095,0.138888889,0.888888889,0,0.013888889,0.013888889,72,8,0,0.888888889,0,0,0,0,0
Kanuri,29,15,60,0.1,0,6,0,105,0.047619048,0,16,MS14,6,12,12.25,Africa,Africa,Western Africa,5,intensive agriculturalists,Nigeria,Polygyny >20% plural wives,400-999 persons,26-100 persons  / sq. mile,Hereditary slavery,29,Mythical Male,Individual households,None or barely adequate,seasonal variation,Tiv            ,Permanent,400-999,26-100 persons / sq. mile,Patrilocal or virilocal,Patrilineal-through male line,Local endogamy 11-39 % (agamous),Overlapping kin ties,Human sacrifice,Local councils,S Seniority,NA,Polygyny >20% plural wives,Large extended,Tiv            ,De Facto Autonomy,Stateless society,Peace group,Absent,Direct subsistence production ,NA,Africa,8,46-55%,Sister or Female Relative Exchanged,NA,Neighborhoods of dispersed family homesteads,200-399,Four levels,Absent or not reported,Mixed,absence among free men,absence of any such office,Present,very important,two of the three variables have a score of 1,NA,Present,Present,Plus taking wives from hostile groups,frequent or endemic,NA,Considerable Overlap between Leaders,Non-Hereditary,Somewhat Powerful,Capricious and arbitary,Leaders secure support,"Not removed in formal manner, lose influence & are ignored",Make relatively few decisions on own w/o consultation,Broad base community council,Collective decisions impinge many aspects of peoples lives,"High or some:  excluded basis on gender, age, or kinship","High: Conflict present, not a pervasive aspect of daily life","Endemic: High physical violence, feuding, and/or raiding    ",Authorities often get invloved to achieve a settlement,Sometimes used,Common,Common,Moderate,done by leaders,High,High,Often move to another community,Significant,High,Occasional,Some Associations,Single level of political integration,Patrilineal,"Polygyny preferred by most men, to obtain wives",No Stratified polygny,"No, or unimportant","No, or unimportant","No, or unimportant",Informal Leader Obeyed by Respect,No Special Respect for Man who Fights,NA,Considered a Necessary Evil,Absent or not mentioned,4-10 conjugal relationships,Despotism absent: bias in the resolution of individual,,Don't know or unclear (original code 8),,Don't know or unclear (original code 8),External warfare semems to occur once every 3 to 10 years   ,Moderately high threat of severe natural disrupters food sup,Moderate threat of severe natural disrupters of food supply ,No resolved rating (original code 0),1 Item Present,1 Item Present,1,0,5,0,0.008333333,0.047619048,0.016666667,0.266666667,0.266666667,0.008333333,0,120,4,0,0.266666667,0,4,0,0.266666667,0
Kapauku,29,12,48,0,0,0,0,84,0.023809524,0,94,OJ29,3,3.68,136.13,Insular Pacific,Oceania,Melanesia,5,intensive agriculturalists,Papua New Guinea,Polygyny >20% plural wives,100-199 persons,100 persons / sq. mile,Hereditary slavery,29,Sexes unequal,Individual households,Complez or> adequate,year-round food supply locally,Kapauku        ,Permanent,100-199,101-500 persons / sq. mile,Patrilocal or virilocal,Patrilineal-through male line,Local endogamy 0-10% (exogamy),Overlapping kin ties,Feasting and/or drinking,Single local leader,I  Informal Consensus,NA,Polygyny >20% plural wives,Small extended,Kapauku        ,De Facto Autonomy,Sovereignty 2nd hierarchical level up,Alliances,Single leader,Capitalistic enterprises,Foreign Commerce,Insular Pacific,5,56-65%,Bride-Price,Small extended families,Compact and relatively permanent settlements,50-99,Three levels,Present  but not active in human affairs,Patrilineal,wealth distinctions,nonhereditary through influence,Absent,very important,two of the three variables have a score of 1,NA,Present,Present,Plus taking wives from hostile groups,frequent or endemic,NA,Some overlab,Non-Hereditary,Somewhat Powerful,Basically benevolent,Checks exist,"Not removed in formal manner, lose influence & are ignored",Frequently act independently & make authoritative decisions,"Individual(s), w/advice of dew advisors",Collective decisions impinge on few aspects of peoples lives,Lowor non-existent: Leaders make most decisions,Moderate: Disagreements do not result in high violence      ,"Endemic: High physical violence, feuding, and/or raiding    ",Authorities often get invloved to achieve a settlement,Often used,"Frequent, yearly",Rare or never,Moderate,done by leaders,Especially high,NA,NA,Women excluded,NA,Women excluded,NA,Single level of political integration,"Ambilineal, e.g. with nonunilineal ramages","Polygyny preferred by most men, to obtain wives",Hereditary upper social class,"No, or unimportant","Yes, or Leaders have more wives than commoners","No, or unimportant",Informal Leader Obeyed by Respect,"Some, not necessary to be a Warrior to have Influence","Yes, Usually or Always",Considered a Necessary Evil,Absent or not mentioned,3 conjugal relationships or less,Despotism absent: bias in the resolution of individual,,origainal 4.5,,original code 4.5,External warfare seems to be absent or rare (orginal code 1),Low threat of severe natural disrupters of the food supply,Moderate high threat of severe natural disrupters of food su,Low or rare (original code 1),2 Items Present,Absent,1,4,2,0,-0.03125,0.023809524,0,0.25,0.083333333,0.010416667,0.041666667,96,3,0,0.25,0,1,0,0.083333333,0
Khasi,NA,3,12,0.416666667,0,5,0,21,0.047619048,0,NA,AR07,2,25.8,91.5,East Eurasia,Asia,South Asia,7,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warfare seems to be absent or rare (original code 1),,Internal warfare seems to be absent or rare (original code1),External warfare seems to be absent or rare (orginal code 1),NA,High ,"There are some ""hungry times"" during the year food is scarce",Absent,2 Items Present,0,1,1,0,-0.041666667,0.047619048,0,0,0,0,0.041666667,24,0,0,0,0,0,0,0,0
Klamath,14,10,40,0.075,0,3,0,70,0.014285714,0,138,NR10,2,42.5,-121.5,North America,North America,Plains and Plateau,1,foragers,Oregon,Polygyny < 20% plural wives,fewer than 100 persons,< 1 person / sq. mile,Hereditary slavery,14,Mythical Male,Individual households,None or barely adequate,seasonal variation,Klamath        ,Seminomadic-fixed then migratory,< 50,1 person / 1-5 sq. mile,Patrilocal or virilocal,Bilateral- not a corporate kin group,Local endogamy 40-60% (agamous),Overlapping kin ties,Entertainment,Single local leader,I  Informal Consensus,NA,Polygyny < 20% plural wives,Small extended,Klamath        ,De Facto Autonomy,Stateless society,Alliances,Absent,Direct subsistence production ,NA,North America,3,0-5% Dependence,Gift Exchange,Small extended families,Seminomadic,Fewer than 50,Three levels,Absent or not reported,Bilateral,wealth distinctions,nonhereditary through informal consensus,Present,very important,two of the three variables have a score of 1,NA,Present,Present,Plus taking wives from hostile groups,absent or occasional or periodical ,NA,Distinct,Non-Hereditary,Limited,NA,NA,No way other than rebellion or popular uprisings,NA,NA,Minimal collective decisions which impinge on peoples lives,NA,Moderate: Disagreements do not result in high violence      ,"Endemic: High physical violence, feuding, and/or raiding    ",Conflicting partiesfind solution on their own,Sometimes used,"Frequent, yearly","Frequent, yearly",Moderate,Absent,High,High,NA,NA,NA,Occasional,Some Positions,Independent local communities,"Nonlineal/bilateral,i.e. w/o lineages though often w/kindred",Polygyny preferred by men of higher social class(wealth etc),Hereditary upper social class,NA,NA,NA,Informal Leader Obeyed by Respect,"Some, not necessary to be a Warrior to have Influence","Yes, Usually or Always",Enjoyed and Has High Value,Absent or not mentioned,4-10 conjugal relationships,Despotism absent: bias in the resolution of individual,,Warfare seems to be absent or rare (original code 1),,Internal warfare seems to be absent or rare (original code1),External warfare seems to be absent or rare (orginal code 1),High,High ,"There are some ""hungry times"" during the year food is scarce",3 Items Present,4 Items Present,0,0,1,0,0,0.014285714,0.05,0,0,0,0,80,0,0,0,0,0,0,0,0
Kogi,NA,4,16,0.625,0,10,0,28,0,0,NA,SC07,3,11,-73,South America,South America,Northwestern South America,4,horticulturalists,Columbia,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warfare seems to occur constantly at any time of the year,,Internal warfare seems to occur constantly any time of year ,No resolved rating (original code  0) ,Low threat of severe natural disrupters of the food supply,Low threat of severre natural disrupters of the food supply ,Low or rare (original code 1),NA,NA,0,0,0,0,0,0,0.0625,0.25,0.25,0,0,32,1,0,0.25,0,1,0,0.25,0
Korea,48,24,96,0.010416667,0,1,0,168,0.101190476,0.011904762,116,AA01,6,33.06,128.03,East Eurasia,Asia,East Asia,5,intensive agriculturalists,Korea,Monogamy,400-999 persons,100 persons / sq. mile,"3 social classes or castes, w/ or w/out slavery",48,Mythical Male,Individual households,None or barely adequate,seasonal variation,Koreans        ,Permanent,100-199,over 500 persons / sq. mile,Patrilocal or virilocal,Patrilineal-through male line,Local endogamy 0-10% (exogamy),Common social or economic status,Feasting and/or drinking,Dual/plural headmen,R Electoral Process,NA,Monogamy,Stem Family,Koreans        ,Fully autonomous,Sovereignty 3rd or higher hierarchical level,International organization,Single leader,Capitalistic enterprises,Foreign Commerce,East Eurasia,4,56-65%,Absence of Consideration,Minimal extended families,Compact and relatively permanent settlements,"One or more cities of more than 50,000",Three levels,Absent or not reported,Patrilineal,complex,nonhereditary on basis of seniority or age,NA,NA,NA,NA,Present,Present,NA,NA,NA,Distinct,Kinship Broad Choicd,Somewhat Powerful,Neither Malevolent nor Benevolent,Checks exist,No way other than rebellion or popular uprisings,Frequently act independently & make authoritative decisions,"Individual(s), w/board based council",Collective decisions impinge on a moderate #'s of areas     ,"Moderate:some consultation present, low input from community",Moderate: Disagreements do not result in high violence      ,"Moderate: Disputes may occur regularly, but manage w/ peace",Conflicting party resolve disputes using informal mechanisms,Sometimes used,Rare or never,"Frequent, yearly",High,Present,High,NA,Rarely or never,Women excluded,Not Great,Women excluded,None,Three or more levels of supra-community integration,"Ambilineal, e.g. with nonunilineal ramages","Monogamy preferred, but exceptional cases of polygyny",No Stratified polygny,"No, or unimportant","No, or unimportant","No, or unimportant",An Official Backed by Force,"Some, not necessary to be a Warrior to have Influence",Sometimes,Considered a Necessary Evil,Absent or not mentioned,3 conjugal relationships or less,Despotism absent: bias in the resolution of individual,,origianl code 1.25,,Internal warfare seems to be absent or rare (original code1),original code 2.75,Moderately high threat of severe natural disrupters food sup,Moderate threat of severe natural disrupters of food supply ,Most members of the pop. usually do not have enough to eat ,1 Item Present,2 Items Present,3,1,17,2,0.010416667,0.089285714,0.072916667,0.375,0.125,0.015625,0.005208333,192,9,0,0.375,0,4,1,0.166666667,0.041666667
Kuna,33,54,216,0.013888889,0,3,0,378,0.05026455,0,158,SB05,7,9.25,-78.5,South America,Middle America and the Caribbean,Central America,4,horticulturalists,Panama,Polygyny < 20% plural wives,400-999 persons,26-100 persons  / sq. mile,Hereditary slavery,33,Sexes equal,Individual households,Complez or> adequate,year-round food supply locally,Cuna (Tule)    ,Permanent,400-999,26-100 persons / sq. mile,Matrilocal or uxorilocal-with wife's kin,Bilateral- not a corporate kin group,Local endogamy 61-89% (agamous),"Common Identity, dialect, subculture",Feasting and/or drinking,Single local leader and subordinates,R Electoral Process,NA,Polygyny < 20% plural wives,Large extended,Cuna (Tule)    ,Fully autonomous,Sovereignty 1st hierarchical level up,NA,Single leader,Direct subsistence production ,NA,South America,1,56-65%,Bride-Service,NA,Compact and relatively permanent settlements,50-99,Three levels,"Present, active, and specifically supportive",Bilateral,wealth distinctions,nonhereditary through election or other formal consensus,Absent,not important ,All three variables have a score of 0,NA,NA,Absent,Plus separate places for men,absent or occasional or periodical ,Same life style,Considerable Overlap between Leaders,Non-Hereditary,Somewhat Powerful,NA,Leaders secure support,"Institutionalized means invoked occasionally, by elites",Make relatively few decisions on own w/o consultation,"Individual(s), w/board based council",Collective decisions impinge on a moderate #'s of areas     ,Widespread: decision making forums open to all adults,Mild or rare,"Moderate: Disputes may occur regularly, but manage w/ peace",Conflicting partiesfind solution on their own,Sometimes used,Occasional,Common,High,Present,Especially high,High,Sometimes,Significant,High,Occasional,Some Associations,Single level of political integration,"Nonlineal/bilateral,i.e. w/o lineages though often w/kindred","Monogamy preferred, but exceptional cases of polygyny",No Stratified polygny,"No, or unimportant","Yes, or Leaders have more wives than commoners","No, or unimportant",NA,NA,NA,NA,Absent or not mentioned,4-10 conjugal relationships,Despotism absent: bias in the resolution of individual,,Warfare seems to occur constantly at any time of the year,,Internal warfare seems to occur constantly any time of year ,External warfare occur almost constantly any time of year   ,Low threat of severe natural disrupters of the food supply,Moderate high threat of severe natural disrupters of food su,Low or rare (original code 1),1 Item Present,Absent,3,5,19,0,-0.00462963,0.05026455,0.060185185,0.277777778,0.074074074,0.006944444,0.011574074,432,15,0,0.277777778,0,4,0,0.074074074,0
Kurds,43,19,76,0.026315789,0,2,0,133,0.045112782,0,57,MA11,4,36.5,44.5,Circum-Mediterranean,Middle East,Middle East,3,pastoralists,Armenia,Polygyny < 20% plural wives,1000 persons,100 persons / sq. mile,"2 social classes, no castes/slavery",43,Sexes unequal,Individual households,Simple or adequate,seasonal variation,Kurd           ,Permanent,"1,000-4,999",101-500 persons / sq. mile,Patrilocal or virilocal,Patrilineal-through male line,Local endogamy 61-89% (agamous),By common residence only,Feasting and/or drinking,Single local leader and subordinates,A  By appointment,NA,Polygyny < 20% plural wives,Stem Family,Kurd           ,Equal status in pluralistic society,Sovereignty 3rd or higher hierarchical level,International organization,Executive and Council,Contributions of free citizens,Large land-holdings,Circum-Mediterranean,9,46-55%,Bride-Price,"Nuclear Family,  Occasional Polygyny",Semisedentary,NA,Three levels,"Present, active, and specifically supportive",Mixed,dual,patrilineal heir,Absent,not important ,All three variables have a score of 0,None ,Present,Present,Plus rape institutionalized or reported,frequent or endemic,Highly Differentiated,Distinct,Kinship Broad Choicd,Very powerful,Capricious and arbitary,Few,No way other than rebellion or popular uprisings,Make relatively few decisions on own w/o consultation,"Individual(s), w/ elite council",Collective decisions impinge on a moderate #'s of areas     ,"High or some:  excluded basis on gender, age, or kinship",Moderate: Disagreements do not result in high violence      ,"Moderately High, often involving physical violence",Conflicting partiesfind solution on their own,Often used,"Frequent, yearly","Frequent, yearly",Moderate,Absent,High,Extensive,Often move to another community,Significant,High,Occasional,Some Associations,Two levels of supra-community intergration,"Ambilineal, e.g. with nonunilineal ramages",Polygyny preferred by men with leadership attributes(chiefs),Hereditary upper social class,"No, or unimportant","No, or unimportant","No, or unimportant",An Official Backed by Force,A Great Deal; Important for every male,"Yes, Usually or Always",Enjoyed and Has High Value,Present,NA,NA,,Warfare seems to occur constantly at any time of the year,,Internal warfare seems to occur constantly any time of year ,External warfare occur almost constantly any time of year   ,NA,Don't know ,Don't know (original code 8),Absent,1 Item Present,0,0,6,0,0,0.045112782,0,0.263157895,0.157894737,0,0,152,5,0,0.263157895,0,3,0,0.157894737,0
Lau Fijians,32,10,40,0.025,0,1,0,70,0,0.014285714,102,OQ06,3,-18.87,-179.27,Insular Pacific,Oceania,Polynesia,7,other,Lau Fiji Islands,Polygyny < 20% plural wives,1000 persons,100 persons / sq. mile,Hereditary slavery,32,NA,Individual households,Complez or> adequate,year-round food supply locally,Mbau Fijians   ,Permanent,"1,000-4,999",over 500 persons / sq. mile,Patrilocal or virilocal,Patrilineal-through male line,Local endogamy 11-39 % (agamous),Common political ties,Human sacrifice,Too complex to be coded,Patrilineal,Seniority,Polygyny < 20% plural wives,Nuclear Poygynous,Mbau Fijians   ,Fully autonomous,Sovereignty 3rd or higher hierarchical level,Alliances,Single leader,Contributions of free citizens,Tribute or taxes,Insular Pacific,8,36-45%,Bride-Price,"Nuclear Family,  Occasional Polygyny",Compact and relatively permanent settlements,"1,000 without any town of more than 5000",Three levels,Absent or not reported,Patrilineal,wealth distinctions,patrilineal heir,NA,NA,NA,NA,Present,Present,NA,frequent or endemic,Highly Differentiated,Considerable Overlap between Leaders,Kinship Broad Choicd,Somewhat Powerful,Neither Malevolent nor Benevolent,Checks exist,NA,Frequently act independently & make authoritative decisions,"Individual(s), w/ elite council",Collective decisions impinge many aspects of peoples lives,"Moderate:some consultation present, low input from community","High: Conflict present, not a pervasive aspect of daily life","Endemic: High physical violence, feuding, and/or raiding    ",Conflicting party resolve disputes using informal mechanisms,Often used,"Frequent, yearly","Frequent, yearly",Moderate,Present,High,High,Often move to another community,Women excluded,NA,Women excluded,None,Two levels of supra-community intergration,"Ambilineal, e.g. with nonunilineal ramages",Polygyny preferred by men with leadership attributes(chiefs),Hereditary upper social class,"No, or unimportant","Yes, or Leaders have more wives than commoners","No, or unimportant",An Official Backed by Force,"Some, not necessary to be a Warrior to have Influence","Yes, Usually or Always",NA,Absent or not mentioned,More than 100 conjugal relationships,Depotism present: Conflicts of interest among individuals,,Warfare seems to occur constantly at any time of the year,,Internal warfare seems to occur constantly any time of year ,External warfare occur almost constantly any time of year   ,Moderately high threat of severe natural disrupters food sup,Moderate threat of severe natural disrupters of food supply ,Some members of the population do not have enough to eat ,Absent,2 Items Present,3,0,0,1,0.0375,-0.014285714,0.075,0.2,0.3,0.0375,0,80,2,0,0.2,0,3,0,0.3,0
Libyan Bedouin ,NA,14,56,0.053571429,0,3,0,98,0.030612245,0,NA,MT09,4,26,24,Africa,Africa,Northern Africa,3,pastoralists,Libya and Egypt,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warfare seems to occur constantly at any time of the year,,original code 1.25,External warfare occur almost constantly any time of year   ,No resolved rating ,No resolved rating ,Low or rare (original code 1),1 Item Present,4 Items Present,1,0,3,0,0.008928571,0.030612245,0,0.214285714,0.142857143,0.008928571,0,112,3,0,0.214285714,0,2,0,0.142857143,0
Lozi,30,22,88,0.011363636,0,1,0,154,0.006493506,0.006493506,4,FQ09,6,-15.25,23,Africa,Africa,Southern Africa,7,other,Zambia,Polygyny >20% plural wives,400-999 persons,5.1-25 persons/ sq. mile,"2 social classes, castes/slavery",30,NA,Individual households,Complez or> adequate,Annual variation,Lozi           ,Rotating among 2+ fixed,400-999,1-25 persons / sq. mile,Patrilocal or virilocal,Ambilineal- through one parent in each generation,Local endogamy 40-60% (agamous),Common political ties,Sacrafice other than human,Single local leader and subordinates,Patrilineal,Informal consensus,Polygyny >20% plural wives,Nuclear Poygynous,Lozi           ,De Facto Autonomy,Sovereignty 2nd hierarchical level up,Absent,Executive and Council,Large land-holdings,Tribute or taxes,Africa,2,36-45%,Token Bride-price,Polygynous: Usual Co-wife ,Semisedentary,50-99,Two levels,Present  but not active in human affairs,Ambilineal,dual,patrilineal heir,NA,NA,NA,NA,Present,NA,NA,frequent or endemic,Highly Differentiated,Some overlab,Kinship Broad Choicd,Very powerful,Neither Malevolent nor Benevolent,Checks exist,"Institutionalized means invoked occasionally, by elites",Frequently act independently & make authoritative decisions,"Individual(s), w/advice of dew advisors",Collective decisions impinge on few aspects of peoples lives,"Moderate:some consultation present, low input from community","High: Conflict present, not a pervasive aspect of daily life","Moderate: Disputes may occur regularly, but manage w/ peace",Authorities often get invloved to achieve a settlement,Sometimes used,Occasional,Common,Moderate,Present,High,Moderate,Often move to another community,Significant,High,Women excluded,Some Associations,Three or more levels of supra-community integration,Patrilineal,"Polygyny preferred by most men, to obtain wives",Hereditary upper social class,"No, or unimportant","No, or unimportant","No, or unimportant",An Official Backed by Force,NA,NA,NA,Present,NA,Depotism present: Conflicts of interest among individuals,,origainal 4.5,,original code 4.5,original code 1.25,Moderately high threat of severe natural disrupters food sup,Moderate high threat of severe natural disrupters of food su,Low or rare (original code 1),NA,NA,2,1,1,1,0.005681818,0,0.034090909,0.227272727,0.181818182,0.011363636,0.005681818,176,6,1,0.272727273,0.045454545,4,0,0.181818182,0
Maasai,19,22,88,0,0,0,0,154,0.038961039,0.006493506,34,FL12,7,-3.5,36.75,Africa,Africa,Eastern Africa,3,pastoralists,"Kenya, Tanzania",Polygyny >20% plural wives,200-399 persons,1-5 persons / sq. mile,Egalitarian,19,Mythical Male,None,None or barely adequate,year-round food supply locally,Masai          ,Migratory,200-399,1-5 persons / sq. mile,Patrilocal or virilocal,Patrilineal-through male line,Local endogamy 40-60% (agamous),Common social or economic status,Feasting and/or drinking,Local councils,R Electoral Process,NA,Polygyny >20% plural wives,Nuclear Poygynous,Masai          ,De Facto Autonomy,Stateless society,Absent,Absent,Direct subsistence production ,NA,Africa,0,0-5% Dependence,Bride-Price,Polygynous: Usual Co-wife ,Nomadic or fully migratory,50-99,Three levels,NA,Patrilineal,absence among free men,absence of any such office,Absent,not important ,All three variables have a score of 0,NA,Present,Present,Plus rape institutionalized or reported,frequent or endemic,NA,Distinct,Non-Hereditary,Limited,Basically benevolent,Leaders secure support,"Not removed in formal manner, lose influence & are ignored",Ude persuasion to help organized & structure group action,Broad base community council,Collective decisions impinge on a moderate #'s of areas     ,"High or some:  excluded basis on gender, age, or kinship",Moderate: Disagreements do not result in high violence      ,"Endemic: High physical violence, feuding, and/or raiding    ",Conflicting party resolve disputes using informal mechanisms,Often used,"Frequent, yearly","Frequent, yearly",Moderate,Absent,Especially high,Extensive,Sometimes,Significant,Significant,Women excluded,Some Associations,Single level of political integration,"Ambilineal, e.g. with nonunilineal ramages","Polygyny preferred by most men, to obtain wives",Hereditary upper social class,"No, or unimportant","No, or unimportant","No, or unimportant",Informal Leader Obeyed by Respect,A Great Deal; Important for every male,"Yes, Usually or Always",Enjoyed and Has High Value,Absent or not mentioned,11-100 conjugal relationships,Despotism absent: bias in the resolution of individual,,Warfare seems to be absent or rare (original code 1),,Internal warfare seems to be absent or rare (original code1),External warfare seems to be absent or rare (orginal code 1),NA,High ,"There are some ""hungry times"" during the year food is scarce",Absent,2 Items Present,6,0,6,1,0.034090909,0.032467532,0.022727273,0.090909091,0.045454545,0.034090909,0,176,2,0,0.090909091,0,1,0,0.045454545,0
Mataco,18,13,52,0.173076923,0,9,0,91,0.010989011,0,182,SI07,5,-24,-60,South America,South America,Southern South America,2,forager/food producers,Argentina,Polygyny < 20% plural wives,100-199 persons,< 1 person / sq. mile,Egalitarian,18,NA,None,None or barely adequate,daily variation in food supply,Lengua         ,Migratory,100-199,< 1 person / 5 sq. mile,Matrilocal or uxorilocal-with wife's kin,Bilateral- not a corporate kin group,Local endogamy 40-60% (agamous),Common religious ties,Entertainment,Single local leader,I  Informal Consensus,NA,Polygyny < 20% plural wives,Small extended,Lengua         ,De Facto Autonomy,Stateless society,Alliances,Absent,Direct subsistence production ,NA,South America,8,6-15%,Absence of Consideration,NA,Nomadic or fully migratory,NA,Three levels,Present  but not active in human affairs,Bilateral,absence among free men,patrilineal heir,Absent,not important ,All three variables have a score of 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Independent local communities,"Nonlineal/bilateral,i.e. w/o lineages though often w/kindred",Polygyny preferred by men with leadership attributes(chiefs),No Stratified polygny,"No, or unimportant","Yes, or Leaders have more wives than commoners",Yes,Informal Leader Obeyed by Respect,A Great Deal; Important for every male,NA,NA,Absent or not mentioned,3 conjugal relationships or less,Despotism absent: bias in the resolution of individual,,Warfare seems to be absent or rare (original code 1),,Internal warfare seems to be absent or rare (original code1),External warfare seems to be absent or rare (orginal code 1),High,Don't know ,Don't know (original code 8),Absent,3 Items Present,0,2,1,0,-0.019230769,0.010989011,0.096153846,0.230769231,0,0,0.019230769,104,3,0,0.230769231,0,0,0,0,0
Mbuti,10,19,76,0.065789474,0,5,0,133,0.037593985,0.007518797,13,FO04,4,1.5,28.5,Africa,Africa,Central Africa,1,foragers,Democratic Republic of the Congo,Polygyny < 20% plural wives,fewer than 100 persons,< 1 person / sq. mile,Egalitarian,10,Sexes equal,None,None or barely adequate,year-round food supply locally,Mbuti          ,Migratory,50-99,1 person / 1-5 sq. mile,Patrilocal or virilocal,Bilateral- not a corporate kin group,Local endogamy 0-10% (exogamy),By common residence only,Entertainment,No centralized local leadership,O No headmen or council,NA,Polygyny < 20% plural wives,Nuclear Poygynous,Mbuti          ,De Facto Autonomy,Stateless society,Absent,Absent,Direct subsistence production ,NA,Africa,1,0-5% Dependence,Sister or Female Relative Exchanged,"Nuclear Family,  Occasional Polygyny",Nomadic or fully migratory,100-199,Two levels,Absent or not reported,Bilateral,absence among free men,absence of any such office,Absent,not important ,All three variables have a score of 0,For one activity,Present,Absent,Plus separate places for men,absent or occasional or periodical ,None exist,NA,Informal,Limited,Basically benevolent,No leaders act independently,"No formal leadership, loss of power when support diminishes",Ude persuasion to help organized & structure group action,"Few explicit decisions, some made by community at large",Collective decisions impinge on few aspects of peoples lives,Widespread: decision making forums open to all adults,Moderate: Disagreements do not result in high violence      ,Mild or rare,Conflicting party resolve disputes using informal mechanisms,Sometimes used,Rare or never,Rare or never,High,Absent,Especially high,Low,Often move to another community,High,High,None,Some Associations,Independent local communities,"Nonlineal/bilateral,i.e. w/o lineages though often w/kindred",Polygyny preferred by men with leadership attributes(chiefs),No Stratified polygny,exceptional skill in hunting,"No, or unimportant","No, or unimportant",NA,No Special Respect for Man who Fights,Rarely or Never,"Avoided, Denounced, Not Engaged In",Absent or not mentioned,More than 100 conjugal relationships,Despotism absent: bias in the resolution of individual,,Warfare seems to be absent or rare (original code 1),,Internal warfare seems to be absent or rare (original code1),External warfare seems to be absent or rare (orginal code 1),NA,Don't know ,original code 1.5,3 Items Present,3 Items Present,0,1,5,1,-0.006578947,0.030075188,0.013157895,0.157894737,0,0,0.006578947,152,3,0,0.157894737,0,0,0,0,0
