,cs_ID,cs_textrec_ID,text_type,c_culture_code,c_name,c_region,c_subregion,c_subsistence_type,c_subsistence_code,c_latitude,c_longitude,c_cultural_complexity,demo_sex,c_name,hooper_coop.activities,hooper_group.size,hooper_payoff,hooper_performance,hooper_sanction.freeriders,c_name,hooper_total_against,hooper_total_for,prestige_counsel.f,prestige_emulated.f,prestige_expertise.f,prestige_family.f,prestige_followers.expect.success.f,hooper_coop.activities.f,hooper_group.size.f,hooper_payoff.f,hooper_performance.f,hooper_sanction.freeriders.f,subsistence2,region2,,c_name,hooper_total_against,hooper_total_for
194,10045,54,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,evidence for,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
195,10046,55,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
196,10047,56,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
197,10048,57,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
198,10049,58,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
199,10050,59,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,evidence for,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
200,10051,60,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
201,10052,61,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,unkown,Azande,0,1,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,evidence for,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
202,10054,63,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,unkown,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
203,10057,65,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
204,10058,66,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,evidence for,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
205,10059,67,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,1,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,evidence for,horticulturalists,Africa,,,,
206,10060,68,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
207,10062,70,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
208,10067,75,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
209,10072,80,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
210,10073,81,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,unkown,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
211,10074,82,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
212,10076,84,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
213,10077,85,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
214,10078,86,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
215,10081,90,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
216,10088,97,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
217,10094,103,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
218,10095,104,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,evidence for,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
219,10096,105,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
220,10097,106,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
221,10099,108,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
222,10100,109,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
223,10101,110,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
224,10102,111,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
225,10103,112,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
226,10104,113,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
227,10105,114,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
228,10106,115,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
229,10107,116,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
230,10108,117,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
231,10109,118,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
232,10110,119,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
233,10111,120,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
234,10112,121,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
235,10114,124,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
236,10115,125,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
237,10116,126,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
238,10117,127,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
239,10118,128,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
240,10120,130,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
241,10121,131,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
242,10122,132,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
243,10123,133,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
244,10124,134,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
245,10125,135,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
246,10126,136,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
247,10127,137,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
248,10128,138,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
249,10129,139,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
250,10130,140,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,evidence for,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
251,10131,141,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
252,10132,142,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
253,10133,143,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
254,10134,144,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
255,10135,145,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
1154,11182,88,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
1155,11183,123,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,Azande,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
18,10363,394,both,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
19,10388,419,both,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
20,10392,423,both,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
104,10393,424,case,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
427,10361,392,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
428,10362,393,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
429,10364,395,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
430,10365,396,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
431,10366,397,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,both,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
432,10367,398,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
433,10368,399,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
434,10369,400,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,evidence for,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
435,10370,401,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,evidence for,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
436,10371,402,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
437,10373,404,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,evidence for,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
438,10374,405,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
439,10375,406,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
440,10376,407,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
441,10377,408,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
442,10378,409,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
443,10379,410,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
444,10380,411,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,female,Bemba,0,0,0,1,0,,,,no evidence,no evidence,evidence for,no evidence,no evidence,no evidence,no evidence,no evidence,evidence for,no evidence,horticulturalists,Africa,,,,
445,10381,412,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,female,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
446,10382,413,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,female,Bemba,0,0,0,0,0,,,,no evidence,no evidence,evidence for,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
447,10383,414,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
448,10384,415,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
449,10385,416,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
450,10386,417,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
451,10387,418,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
452,10389,420,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
453,10390,421,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
454,10391,422,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
455,10394,425,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
456,10395,426,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
457,10396,427,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,1,0,0,1,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,evidence for,no evidence,no evidence,evidence for,no evidence,horticulturalists,Africa,,,,
458,10397,428,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,,,
459,10398,429,cultural model,FQ05,Bemba,Africa,Southern Africa,horticulturalists,4,-10.5,30.5,28,male,Bemba,0,0,0,1,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,evidence for,no evidence,horticulturalists,Africa,,,,
